Id,Name,Status__c,Salary__c
117,Quo Lux,On hold,50K-75K
118,Tampflex,On hold,90K-120K
119,Zoolab,On hold,75K-90K
120,Regrant,Active,75K-90K
121,Tampflex,Archived,75K-90K
122,Sonair,Active,90K-120K
123,Ronstring,Active,120K+
124,Quo Lux,Active,50K-75K
125,Latlux,Archived,90K-120K
126,Zathin,Archived,120K+
127,Sonsing,On hold,75K-90K
128,Gembucket,Active,90K-120K
129,Domainer,On hold,120K+
130,Treeflex,On hold,50K-75K
131,Voltsillam,Active,75K-90K
132,Vagram,Archived,50K-75K
133,Quo Lux,Active,90K-120K
134,Zaam-Dox,On hold,120K+
135,Konklux,Active,90K-120K
136,Bamity,Active,90K-120K
137,Voltsillam,On hold,120K+
138,Cardify,On hold,75K-90K
139,Ventosanzap,On hold,50K-75K
140,Temp,On hold,75K-90K
141,Solarbreeze,On hold,75K-90K
142,Zathin,On hold,75K-90K
143,Tin,On hold,90K-120K
144,Sub-Ex,Active,90K-120K
145,Pannier,Active,120K+
146,Span,On hold,75K-90K
147,Zamit,Active,90K-120K
148,Hatity,Archived,50K-75K
149,Cardify,Active,75K-90K
150,Tresom,Active,90K-120K
151,Y-Solowarm,Archived,50K-75K
152,Alphazap,Active,50K-75K
153,Fixflex,Archived,90K-120K
154,Konklux,Archived,120K+
155,Zoolab,Active,50K-75K
156,Stronghold,Archived,120K+
157,Span,On hold,50K-75K
158,Wrapsafe,Active,90K-120K
159,Temp,Archived,120K+
160,Zamit,Archived,90K-120K
161,Greenlam,On hold,90K-120K
162,Alpha,On hold,75K-90K
163,Ronstring,Active,75K-90K
164,Tresom,Active,90K-120K
165,Home Ing,On hold,50K-75K
166,Flowdesk,Archived,90K-120K
167,Gembucket,Archived,75K-90K
168,Hatity,On hold,90K-120K
169,Temp,Active,90K-120K
170,Stringtough,Archived,120K+
171,Veribet,Archived,90K-120K
172,Tampflex,Active,90K-120K
173,Zoolab,Active,120K+
174,Temp,On hold,90K-120K
175,Job,Active,75K-90K
176,Zamit,Archived,50K-75K
177,Y-Solowarm,Active,90K-120K
178,Holdlamis,On hold,120K+
179,Sub-Ex,Active,75K-90K
180,Home Ing,Archived,120K+
181,Cardguard,Archived,90K-120K
182,Quo Lux,On hold,75K-90K
183,Treeflex,On hold,50K-75K
184,Zamit,Active,50K-75K
185,Holdlamis,Active,50K-75K
186,Tempsoft,Active,75K-90K
187,Asoka,Active,120K+
188,Y-find,Active,90K-120K
189,Job,Active,50K-75K
190,Bytecard,On hold,120K+
191,Pannier,On hold,90K-120K
192,Asoka,On hold,90K-120K
193,Zoolab,On hold,75K-90K
194,Bigtax,Active,75K-90K
195,Redhold,Archived,120K+
196,Regrant,Archived,75K-90K
197,Zontrax,Active,50K-75K
198,Prodder,Archived,90K-120K
199,Zoolab,On hold,50K-75K
200,Greenlam,Archived,75K-90K
